# Band 2A   Etalon 1B   Slice 17
# Distortion map version 06.04.00 - date 2018-10-09
# Trace (isoalpha): Take pixel trace along specified slice, specified alpha position trace is built by taking the pixel in every detector row with alpha value closest to the one specified 
# xpos[i] = np.argmin(alpha_img[i,:])+funcs.find_nearest(alpha_img[i,:][(slice_img[i,:]!=0)],alpha_pos)
#    alpha       x  y      center         FWHM          skewness
0.0  951  5  4.64446386673  1.6131744956  -0.0117043842726
0.0  951  15  14.6092746736  1.59225545981  0.0250697875092
0.0  952  25  24.8444962715  1.6749874317  0.036744055601
0.0  952  35  34.9376470144  1.68021819259  0.0448071469448
0.0  953  45  45.3126874689  1.62218922084  0.083899546123
0.0  953  56  55.5196675836  1.58026756981  0.0747081345359
0.0  954  66  66.035676009  1.6507779024  0.0723200029441
0.0  954  76  76.4033028658  1.53409269579  0.121594050476
0.0  955  87  86.996050895  1.62597803987  0.0650799210235
0.0  955  98  97.5181587232  1.41052904243  0.0899586050242
0.0  956  108  108.350034874  1.44643939212  0.154194011567
0.0  956  119  118.945084731  1.56273891282  0.0602029713925
0.0  957  130  129.86022967  1.55424407651  0.0374358718608
0.0  957  141  140.639698612  1.45951375356  0.0192079358152
0.0  958  152  151.730421092  1.53672085246  0.0279978858378
0.0  958  163  162.676994542  1.51000465509  0.0174797458424
0.0  959  174  173.785678753  1.74406929824  -0.00585112897012
0.0  959  185  185.030503993  1.60196958613  0.0566101689471
0.0  959  196  196.240854697  1.55366626116  0.0998977997535
0.0  960  208  207.638274279  1.5830252871  0.0105945544819
0.0  960  219  219.014420152  1.63148007591  0.0528555413637
0.0  960  230  230.40834122  1.64318877237  -0.0608470142454
0.0  961  242  242.135958959  1.60488499089  0.0860471842873
0.0  961  254  253.678583988  1.57803684039  0.0264079749936
0.0  961  265  265.475652842  1.58722361333  0.0599841582356
0.0  962  277  277.329952573  1.5190735418  0.0927436547362
0.0  962  289  289.165531685  1.55194505603  0.087286732553
0.0  962  301  301.081618775  1.56381242592  0.079903092858
0.0  963  313  313.28598811  1.50408770319  0.102051802412
0.0  963  325  325.377425353  1.45203434345  0.110791893539
0.0  963  338  337.529319046  1.46204230493  0.0480027319871
0.0  964  350  350.038532746  1.59358351307  0.151746212224
0.0  964  362  362.391549269  1.46933187445  0.115357425406
0.0  964  375  374.777764058  1.60133829444  0.0242986709663
0.0  964  387  387.386025686  1.51601692764  0.073947978721
0.0  964  400  400.011638204  1.63991586055  0.067131176639
0.0  965  413  412.884376463  1.66436787247  0.0208713266554
0.0  965  426  425.710541063  1.63216701604  -0.00377665350981
0.0  965  439  438.645531844  1.58571403556  -0.0157188348034
0.0  965  452  451.672471653  1.6208588466  -0.00715314252479
0.0  965  465  464.782400312  1.62248437624  -0.044797654788
0.0  965  478  478.053211231  1.64331793468  0.00983058860089
0.0  965  491  491.39875006  1.54352200698  0.0441787186097
0.0  965  505  504.760491837  1.59632862981  -0.0374954733346
0.0  965  518  518.361042002  1.52572704042  0.0411465077307
0.0  965  532  531.964387557  1.65425970678  0.0199104307015
0.0  965  546  545.666074893  1.57744537184  -0.0243545536256
0.0  965  560  559.539240494  1.56906760901  0.0144633258209
0.0  965  573  573.502270795  1.49563846209  0.0436502137796
0.0  965  588  587.538696049  1.58406323114  0.0321788578315
0.0  965  602  601.698282655  1.66106358226  0.0108404744332
0.0  965  616  616.020440734  1.74067787303  0.0589872697964
0.0  965  630  630.425145335  1.66559335554  0.0602804772365
0.0  965  645  644.918154459  1.79021346641  0.0305390935843
0.0  965  660  659.552517179  1.72551126325  0.0170346514519
0.0  965  674  674.321090272  1.74416105637  0.0239094357901
0.0  964  689  689.013173037  1.81019543043  -0.0086103623683
0.0  964  704  703.994416509  1.80605053649  -0.025289516076
0.0  964  719  719.108337515  1.76939055449  -0.0140407636238
0.0  964  734  734.351610129  1.716291765  0.0113363334481
0.0  963  750  749.534098709  1.70377974645  -0.013499722172
0.0  963  765  765.014651207  1.80369456459  0.0111596444325
0.0  963  781  780.606034199  1.7565203159  -0.01040058005
0.0  962  796  796.244404619  1.77461188364  0.0620641371429
0.0  962  812  812.102469117  1.86327401159  0.0584654384784
0.0  961  828  827.949554706  1.88802687965  0.0533133770256
0.0  961  844  844.096060337  1.89984476205  0.051549010958
0.0  960  860  860.262506762  1.88170414183  0.0506083743693
0.0  960  877  876.656123461  1.91197471163  -0.0266387634287
0.0  959  893  893.103953115  1.96423522442  -0.0097708508429
0.0  959  910  909.806846185  1.93572005833  -0.0368126614256
0.0  958  927  926.51768566  1.88602091522  -0.0481172272991
0.0  957  943  943.414177162  1.9140436667  -0.00621114409521
0.0  957  961  960.527631904  1.88158008174  -0.0210464022364
0.0  956  978  977.659898277  1.95042006094  -0.0253342957551
0.0  955  995  994.993784266  2.03592895198  0.0242139936959
0.0  954  1012  1012.45763399  1.95902406681  0.0338946943125
-1.88953615522  960  7  6.59588776939  1.51789291701  0.0393958100703
-1.88953615522  960  17  16.5491530904  1.58593976817  0.0256349893079
-1.88953615522  961  27  26.7337850976  1.61725418041  0.0185656340681
-1.88953615522  961  37  36.843698284  1.66491962601  0.0388985439874
-1.88953615522  962  47  47.2290164381  1.65505461682  0.0852602461885
-1.88953615522  962  57  57.4355758836  1.61809335325  0.0725283781884
-1.88953615522  963  68  67.9151277805  1.65636066212  0.0683678377308
-1.88953615522  963  78  78.2947648747  1.59446396571  0.12025289027
-1.88953615522  964  89  88.8795038578  1.58075081907  0.0422007416399
-1.88953615522  964  99  99.4176786325  1.521718871  0.096335461681
-1.88953615522  965  110  110.210815028  1.52883978152  0.130369944908
-1.88953615522  965  121  120.775777284  1.51476070035  0.00971691880868
-1.88953615522  966  132  131.70027909  1.46173139746  0.0123227053923
-1.88953615522  966  143  142.531654963  1.37648005183  0.0614683084128
-1.88953615522  967  154  153.564940749  1.34253938486  0.0310240426274
-1.88953615522  967  165  164.536974786  1.50273946984  0.0405309490775
-1.88953615522  967  176  175.548617629  1.55963697058  0.0168174480876
-1.88953615522  968  187  186.810042995  1.55364731406  0.0155384690925
-1.88953615522  968  198  198.032146348  1.61395213681  0.058626620524
-1.88953615522  969  209  209.475105506  1.44395793881  0.0827440523328
-1.88953615522  969  221  220.768484812  1.57518035485  0.0137104815575
-1.88953615522  969  232  232.249991879  1.55258410675  0.111379446139
-1.88953615522  970  244  243.889668177  1.61349510924  0.048435039534
-1.88953615522  970  255  255.478958926  1.50026003352  0.0629738810379
-1.88953615522  970  267  267.173355648  1.60667449936  0.105529227056
